Id,SalePrice
1461,110793.75434718591
1462,170808.6033103706
1463,191211.15289276923
1464,202192.60439223735
1465,201326.2861467821
1466,178774.8923019048
1467,179290.5829716632
1468,167800.50890800342
1469,201845.96955101975
1470,126678.51964943153
1471,196649.68563915486
1472,97966.28489655806
1473,97082.78004766523
1474,154085.2992470803
1475,110465.95431680206
1476,323851.1991253561
1477,227167.94722214426
1478,261585.5443305789
1479,274017.93153665395
1480,539089.0146490252
1481,354457.97944065154
1482,212276.8147083002
1483,166505.64152151893
1484,165915.99507915846
1485,182084.1757016607
1486,194791.9557822706
1487,326003.8100857347
1488,246135.82409688516
1489,172318.98881631353
1490,250971.05220984019
1491,183363.919933684
1492,93170.91228754848
1493,178731.1415277139
1494,268096.7390330532
1495,290980.961828252
1496,256203.5843264573
1497,172275.41530456246
1498,158290.3311600402
1499,154395.70766276892
1500,150179.02573726958
1501,178820.4244169712
1502,148747.50409176675
1503,264617.0686698558
1504,248093.94026903118
1505,230933.48298738245
1506,202852.028142795
1507,263306.2136524574
1508,205817.87780848183
1509,152001.10098844103
1510,153499.3722596796
1511,146360.7877961408
1512,183724.3043844872
1513,154625.89055320265
1514,161588.72393460342
1515,205237.75056048395
1516,147649.0813192528
1517,162661.50631035812
1518,143065.45570247975
1519,207576.44435444684
1520,127289.29914558347
1521,134031.30349871176
1522,184223.55498302644
1523,110505.28490467128
1524,121750.80736167908
1525,118250.73481963495
1526,118245.91537048336
1527,108744.17888158122
1528,126803.30022190884
1529,148156.39105767524
1530,190093.70891352266
1531,125913.64012783255
1532,92450.5553449305
1533,135447.02675867046
1534,112840.8931183581
1535,134152.98588533764
1536,99082.59490297487
1537,97310.71523665542
1538,148858.07052489315
1539,179637.66720986628
1540,109542.89306580964
1541,148187.8772294483
1542,129106.74763953799
1543,194351.31511472617
1544,90952.25447799897
1545,114716.03481762149
1546,127061.69513299021
1547,133575.74867666414
1548,136304.62661033764
1549,115827.171760428
1550,140657.2807984432
1551,113574.92126844781
1552,140531.54928689988
1553,130918.92954087527
1554,109381.18811202359
1555,175169.71753499404
1556,98972.55926921274
1557,112121.19664861143
1558,99158.82631821583
1559,103385.84174159874
1560,144361.09765756427
1561,129567.14232117069
1562,120855.17176958862
1563,122874.9778197317
1564,163289.7552248903
1565,140176.98350262587
1566,217779.11801646923
1567,89647.53087285721
1568,221694.28211393525
1569,138452.38221651336
1570,132644.46163837975
1571,101404.00477982196
1572,146158.8840416175
1573,209047.7552965244
1574,127507.84718982485
1575,213957.71376000467
1576,277221.7692286994
1577,171240.25653899828
1578,144907.87740033248
1579,133701.78984000982
1580,197183.00862226973
1581,148656.65421351293
1582,132701.6192086619
1583,344571.4272690094
1584,226825.9220862132
1585,135914.91189238755
1586,71129.7640913721
1587,106000.51717838354
1588,142866.60419027123
1589,118382.49762666007
1590,141385.4968973451
1591,99767.26207341629
1592,122803.95458970622
1593,124826.5439903174
1594,118600.1648314176
1595,113029.53079311278
1596,220702.2067154954
1597,194228.41816295698
1598,191271.39289150047
1599,168065.9170895755
1600,174494.69095765735
1601,82265.77305049449
1602,117033.20177148089
1603,77908.03738695226
1604,260618.8945723536
1605,245478.6676484378
1606,192503.49545987046
1607,194408.57176004708
1608,203967.56722331897
1609,160593.00983601098
1610,143674.58698569084
1611,139179.11076512694
